Nurses,Scenario,Min Saved/Shift,OT Hrs Saved/Mo,Monthly OT Savings,Annual OT Savings,Annual VoxChart Cost,Net Annual ROI
10,Conservative (15 min),15,50.0,2700,32400,12000,20400
10,Moderate (25 min),25,83.3,4500,54000,12000,42000
10,Optimistic (35 min),35,116.7,6300,75600,12000,63600
20,Conservative (15 min),15,100.0,5400,64800,12000,52800
20,Moderate (25 min),25,166.7,9000,108000,12000,96000
20,Optimistic (35 min),35,233.3,12600,151200,12000,139200
30,Conservative (15 min),15,150.0,8100,97200,12000,85200
30,Moderate (25 min),25,250.0,13500,162000,12000,150000
30,Optimistic (35 min),35,350.0,18900,226800,12000,214800
40,Conservative (15 min),15,200.0,10800,129600,12000,117600
40,Moderate (25 min),25,333.3,18000,216000,12000,204000
40,Optimistic (35 min),35,466.7,25200,302400,12000,290400
50,Conservative (15 min),15,250.0,13500,162000,12000,150000
50,Moderate (25 min),25,416.7,22500,270000,12000,258000
50,Optimistic (35 min),35,583.3,31500,378000,12000,366000
